 #          x          v(x)          u(x)          log(x)          epsilon
  0.99680031996800322        3.1980583578770138E-003   3.1980586242798324E-003  -1.3918312784891884E-003  -7.0793476051047728     
  0.99670032996700331        3.2979969161866119E-003   3.2979971909145281E-003  -1.4353979617682702E-003  -7.0793474893416120     
  0.99660033996600339        3.3979354275826259E-003   3.3979357106355256E-003  -1.4789690159210268E-003  -7.0793475493937743     
  0.99650034996500347        3.4978738920181242E-003   3.4978741833960026E-003  -1.5225444418245709E-003  -7.0793476072941663     
  0.99640035996400356        3.5978123094461264E-003   3.5978126091490911E-003  -1.5661242403562799E-003  -7.0793475004505595     
  0.99630036996300375        3.6977506798196069E-003   3.6977509878475430E-003  -1.6097084123937466E-003  -7.0793475558913093     
  0.99620037996200383        3.7976890030914918E-003   3.7976893194445068E-003  -1.6532969588149734E-003  -7.0793474553774374     
  0.99610038996100392        3.8976272792146612E-003   3.8976276038926397E-003  -1.6968898804980816E-003  -7.0793475090707005     
  0.99600039996000400        3.9975655081419467E-003   3.9975658411448862E-003  -1.7404871783215055E-003  -7.0793475583455585     
  0.99590040995900408        4.0975036898261343E-003   4.0975040311541410E-003  -1.7840888531639445E-003  -7.0793474650181887     
  0.99580041995800417        4.1974418242199619E-003   4.1974421738730323E-003  -1.8276949059043617E-003  -7.0793473755512952     
  0.99570042995700425        4.2973799112761201E-003   4.2973802692540287E-003  -1.8713053374219857E-003  -7.0793475590524917     
  0.99560043995600445        4.3973179509472528E-003   4.3973183172502164E-003  -1.9149201485962612E-003  -7.0793474724435264     
  0.99550044995500453        4.4972559431859550E-003   4.4972563178139711E-003  -1.9585393403070439E-003  -7.0793473881198503     
  0.99540045995400461        4.5971938879447770E-003   4.5971942708976183E-003  -2.0021629134343078E-003  -7.0793475606924190     
  0.99530046995300470        4.6971317851762185E-003   4.6971321764541036E-003  -2.0457908688583425E-003  -7.0793474789221733     
  0.99520047995200478        4.7970696348327343E-003   4.7970700344356588E-003  -2.0894232074597013E-003  -7.0793474009651947     
  0.99510048995100486        4.8970074368667295E-003   4.8970078447944671E-003  -2.1330599301192040E-003  -7.0793475629803524     
  0.99500049995000495        4.9969451912305627E-003   4.9969456074833310E-003  -2.1767010377179347E-003  -7.0793474872279409     
  0.99490050994900514        5.0968828978765453E-003   5.0968833224543401E-003  -2.2203465311371965E-003  -7.0793474148163140     
  0.99480051994800522        5.1968205567569396E-003   5.1968209896595353E-003  -2.2639964112587019E-003  -7.0793475674370505     
  0.99470052994700531        5.2967581678239608E-003   5.2967586090515752E-003  -2.3076506789642855E-003  -7.0793474960913665     
  0.99460053994600539        5.3966957310297766E-003   5.3966961805821832E-003  -2.3513093351360940E-003  -7.0793476422344019     
  0.99450054994500547        5.4966332463265060E-003   5.4966337042039242E-003  -2.3949723806565423E-003  -7.0793475711377276     
  0.99440055994400556        5.5965707136662220E-003   5.5965711798686467E-003  -2.4386398164083110E-003  -7.0793475037067157     
  0.99430056994300575        5.6965081330009465E-003   5.6965086075281540E-003  -2.4823116432742972E-003  -7.0793476397880077     
  0.99420057994200584        5.7964455042826563E-003   5.7964459871348642E-003  -2.5259878621378125E-003  -7.0793475717624279     
  0.99410058994100592        5.8963828274632797E-003   5.8963833186404836E-003  -2.5696684738822865E-003  -7.0793475063344911     
  0.99400059994000600        5.9963201024946953E-003   5.9963206019966698E-003  -2.6133534793914659E-003  -7.0793476356744272     
  0.99390060993900609        6.0962573293287360E-003   6.0962578371556988E-003  -2.6570428795493635E-003  -7.0793475711561449     
  0.99380061993800617        6.1961945079171835E-003   6.1961950240691319E-003  -2.7007366752402591E-003  -7.0793475075269345     
  0.99370062993700625        6.2961316382117733E-003   6.2961321626884810E-003  -2.7444348673486985E-003  -7.0793476300422062     
  0.99360063993600645        6.3960687201641934E-003   6.3960692529658790E-003  -2.7881374567594480E-003  -7.0793475672826762     
  0.99350064993500653        6.4960057537260816E-003   6.4960062948527407E-003  -2.8318444443576844E-003  -7.0793475066996230     
  0.99340065993400661        6.5959427388490293E-003   6.5959432883004347E-003  -2.8755558310287073E-003  -7.0793476243837770     
